case_id,winner,competitor,nominal_gap,finite,finite_or_infinite_reason,radius_tv_primal_dual,radius_tv_lp,radius_tv_transport,lp_transport_abs_diff,range_lower_bound,verification_status,objective_gap,maximum_primal_violation,maximum_dual_violation,maximum_complementarity_residual,mathematical_tie_tolerance,verification_tolerance
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),CAT (tuned + ensemble),0.130281690140845,True,finite_pairwise_boundary,0.092957746478873,0.092957746478873,0.0929577464788732,1.9428902930940242e-16,0.0801733477789815,PASS,1.3877787807814454e-16,1.3322676295501878e-15,1.1102230246251563e-16,8.413408858487516e-17,1e-12,1e-08
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),GBM (tuned + ensemble),0.1496478873239436,True,finite_pairwise_boundary,0.1158059467918621,0.1158059467918621,0.1158059467918623,1.6653345369377348e-16,0.0997652582159624,PASS,9.714451465470121e-17,1.3322676295501878e-15,2.3592239273284576e-16,1.1934028795608886e-17,1e-12,1e-08
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),XGB (tuned + ensemble),0.2323943661971831,True,finite_pairwise_boundary,0.1555697823303456,0.1555697823303456,0.1555697823303456,0.0,0.1327967806841046,PASS,8.326672684688674e-17,1.3322676295501878e-15,2.220446049250313e-16,3.3117448177739037e-17,1e-12,1e-08
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),0.1258802816901408,True,finite_pairwise_boundary,0.0922535211267604,0.0922535211267604,0.0922535211267606,1.9428902930940242e-16,0.0839201877934272,PASS,1.52655665885959e-16,1.3322676295501878e-15,1.9428902930940242e-16,4.891920202254596e-17,1e-12,1e-08
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),TA-TABICLv2 (default),0.0554577464788732,True,finite_pairwise_boundary,0.0295774647887324,0.0295774647887324,0.0295774647887324,4.510281037539698e-17,0.0295774647887324,PASS,6.245004513516506e-17,1.3322676295501878e-15,8.326672684688674e-17,4.163336342344337e-18,1e-12,1e-08
coverage9__primary122__rank__equal,TA-TABICLv2 (default),LR (tuned + ensemble),0.5461065573770493,True,finite_pairwise_boundary,0.2730532786885247,0.2730532786885247,0.2730532786885246,1.1102230246251563e-16,0.2730532786885246,PASS,1.1102230246251563e-16,6.661338147750939e-16,0.0,6.5052130349130266e-18,1e-12,1e-08
coverage9__primary122__rank__equal,TA-TABICLv2 (default),RF (tuned + ensemble),0.4815573770491805,True,finite_pairwise_boundary,0.3166915052160955,0.3166915052160955,0.3166915052160956,5.551115123125783e-17,0.2963430012610341,PASS,1.1102230246251563e-16,5.551115123125784e-16,2.775557561562892e-17,5.17263000109448e-17,1e-12,1e-08
coverage9__primary122__rank__equal,TA-TABICLv2 (default),XT (tuned + ensemble),0.3883196721311475,True,finite_pairwise_boundary,0.2276166456494326,0.2276166456494326,0.2276166456494327,2.775557561562892e-17,0.207103825136612,PASS,1.1102230246251563e-16,5.551115123125784e-16,1.1102230246251563e-16,1.7080354225002406e-17,1e-12,1e-08
coverage9__primary122__rank__equal,TA-TABICLv2 (default),CAT (tuned + ensemble),0.1618852459016393,True,finite_pairwise_boundary,0.0907944514501893,0.0907944514501893,0.0907944514501892,1.6653345369377348e-16,0.0809426229508196,PASS,1.52655665885959e-16,4.440892098500626e-16,2.220446049250313e-16,3.522823058906748e-17,1e-12,1e-08
coverage9__primary122__rank__equal,TA-TABICLv2 (default),GBM (tuned + ensemble),0.1875,True,finite_pairwise_boundary,0.1001170960187355,0.1001170960187355,0.1001170960187354,1.1102230246251563e-16,0.09375,PASS,1.6653345369377348e-16,4.440892098500626e-16,1.1102230246251563e-16,1.982541115402066e-17,1e-12,1e-08
