task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABDPT (default),TA-TABPFN-2.6 (default),TA-TABICLv2 (default)
in_vehicle_coupon_recommendation-102e68b480bd,1.0,0.2801680555438531,0.38005240939998775,0.042673216437340664,0.09037883064685988,0.09572614824613936,0.025476908687995715,0.0,0.33769200630260937,0.011158062368871062,0.08111344697129219
indian_liver_patient_dataset-0216cd985bcf,0.5134783813392477,0.8227272931678764,0.2357104929711201,0.46496754078977903,0.8563477499248479,1.0,0.4405467717380869,0.5120388784094957,0.14283816678710434,0.5738616099920487,0.0
iranian_churn-87d6fa636729,1.0,0.19015882019285088,0.15130459444129038,0.11060692002268713,0.11542824730572708,0.1225184344866684,0.02750992626205178,0.04764605785592504,0.02197958026091789,0.015598411798070519,0.0
jm1-c8cfe392b650,1.0,0.49889515035308557,0.42560094467567694,0.4825971566197459,0.5763632324743949,0.6386264789786271,0.5455560491979611,0.6707255763924618,0.0,0.07948487115933588,0.09977552261141925
kdd_cup_09_appetency-72d0143e7c3d,0.29791787081945453,0.38899628267160424,0.2300162186090655,0.0,0.17692685387980445,0.062226105581405136,0.2856437279990407,0.2852049170028627,1.0,0.13763200575287052,0.1207397154880944
kick-57821d387256,0.6244205095731845,1.0,0.7660687133512493,0.21201918811108023,0.2554772848953726,0.2703427118692659,0.19547258045940066,0.3048848298391331,0.5866809301121932,0.0,0.16485214535590237
labour_inspection_compliance-17b501f52bd1,1.0,0.25857977963639894,0.2222489788528539,0.09584248225040615,0.1368121271228334,0.11964377748723307,0.02838300196749827,0.1223954694778546,0.6181001435142387,0.16212829488243494,0.0
ljubljana_breast_cancer-28c8b88c6b23,0.2922337100264491,1.0,0.910843952873287,0.5511901899495076,0.6553017552296225,0.5715797066602544,0.6782399615292141,0.6622264967540273,0.20904063476797394,0.04789612887713389,0.0
ljubljana_primary_tumor-b1acf2d83b0d,1.0,0.7827909995232191,0.7105506485233191,0.7725941942791996,0.3968896116905367,0.7301566065356745,0.20918805112781438,0.0,0.871846463182075,0.42867423898425466,0.3558122663853118
lung_cancer-48c9b1f8934d,0.18456926659994005,1.0,0.5357944033561607,0.7197307744626482,0.37084544028191035,0.8620755925936004,0.11296869947336748,0.0,0.20540911567580752,0.018468615569751195,0.5855142298122796
lung_cancer_epithelial_genexp-ff6233558b2e,0.08755311614730864,0.8400318696883848,0.9042138810198296,0.6020272662889514,0.5804709631728047,0.6369953966005663,0.5105347025495747,0.4641023371104816,0.0,0.3430860481586395,1.0
marketing_campaign-45b76b0f0de6,0.3541645141032606,1.0,0.8038357699099239,0.4683241850123334,0.314162311352986,0.46271348553997554,0.33118139186515894,0.19073419463214608,0.46878423795018753,0.07341645875166675,0.0
maternal_health_risk-002da4815804,1.0,0.1625229367222764,0.13152228977814787,0.220056334455884,0.2609607053262214,0.22268100485571382,0.12898588247327736,0.21189982618267453,0.0,0.04887558957369008,0.010907131292826118
mercedes_benz_greener_manufacturing-da8ac0e00317,0.2622260707587863,1.0,0.24832954549188424,0.14660826114551787,0.12077422703128318,0.30227476155049215,0.13200407604513248,0.18592113496725457,0.2791295911940686,0.005171224887309836,0.0
miami_housing-77ada7242bed,1.0,0.23384593322834094,0.17949174858149847,0.07305843192169043,0.0880735439730196,0.1028583971001315,0.04800064649695922,0.053928447737348846,0.026404078493837378,0.0120724564411529,0.0
mic-ba10980b94f8,1.0,0.5039821397477383,0.582168920342319,0.4458889069859561,0.49757209427545357,0.178239508673845,0.04920035924616078,0.0,0.9219670861816635,0.05626875390281001,0.10944194815414846
mice_protein_trisomy_discriminant-14c7a0eb99a0,0.7492873750705618,0.6651202545335262,0.5534771483192122,0.7149070443949818,0.6690404002986147,1.0,0.509074002704693,0.40719306880630374,0.5710171578371154,0.6458204320901966,0.0
micro_mass-5deb16d4fa0e,0.0,0.539200548604057,0.5588603642531054,0.24341437918642667,0.2609382127322141,0.8002980024937133,0.3970110437819407,0.06670819723188327,1.0,0.11873644095691938,0.26001445139094387
musk-16dca0dbddf5,0.7721717375213802,0.5963843770402616,0.47214953628899886,1.0,0.299584584478587,0.47790589206437106,0.16251585492082968,0.06188433852398909,0.5137019706807441,0.47832519199440177,0.0
mutual_funds_india-5fbf8efc1836,0.9938777300543115,0.539215679437265,0.7262363896097692,0.5319857652858221,0.49145090585987883,0.33087960638796454,0.41779853770000874,0.47518354534702195,1.0,0.01916322420684561,0.0
naticusdroid_android_permissions_dataset-c7f072cebb01,0.8571291175763405,1.0,0.7535465256071148,0.09242606395767639,0.21909112767491717,0.30555421976436076,0.1143544121182944,0.1303197884106645,0.35176725174322165,0.12180812695357403,0.0
obesity_estimation-37bb57808420,0.728464341551614,0.7368506464273138,0.7628054229973528,0.7654572890373064,0.5834098743188423,1.0,0.6422936705177886,0.5936150610975871,0.0,0.42005961978106643,0.3912855357728697
online_shoppers_purchasing_intention_dat-7c9d5262e1c0,1.0,0.4276399765412105,0.34351030921907233,0.23748576948287076,0.13201320132013128,0.1190533687515078,0.23469141339220773,0.09503110589804803,0.3877830291739954,0.0,0.0410298869608277
otto_group_product_classification_challe-08decc7aebcb,1.0,0.6016749805309214,0.5922662006751855,0.21315569548978922,0.18182035485775064,0.18797775427889343,0.09743635183692302,0.09691381748434356,0.34695372673746655,0.20447274285248676,0.0
pancreatic_cancer_mouse_detection-bebbbfb72cb4,0.14304572661784615,0.821054272318265,0.747684242053294,0.7768775121532329,0.8111308217552641,0.8376239342228107,0.6195453499281195,0.7644573139973423,0.0,0.06624692283134338,1.0
parkinsons_biomedical_voice_measurements-44c2da69ace1,1.0,0.5121492418407225,0.19229513844371096,0.24693785472194288,0.2271781481006625,0.5630080127154267,0.0,0.2012121837903755,0.8298638807302364,0.4209841732476894,0.4370125402372984
physiochemical_protein-d68ec1dd11a4,1.0,0.2579621780104893,0.26050438062509423,0.22266247095780434,0.24679530746221223,0.2285155442692046,0.09003441012386323,0.1465921501804849,0.0,0.04998230700304228,0.01748482693130333
