task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABICLv2 (default)
lending_club_1m-f6bf13e264e4,0.625,0.875,0.75,0.125,0.375,0.0,0.25,0.5,1.0
ljubljana_breast_cancer-28c8b88c6b23,0.125,1.0,0.875,0.25,0.5,0.375,0.75,0.625,0.0
ljubljana_primary_tumor-b1acf2d83b0d,1.0,0.875,0.5,0.75,0.375,0.625,0.125,0.0,0.25
lung_cancer-48c9b1f8934d,0.25,1.0,0.5,0.75,0.375,0.875,0.125,0.0,0.625
lung_cancer_epithelial_genexp-ff6233558b2e,0.0,0.75,0.875,0.5,0.375,0.625,0.25,0.125,1.0
maps_router_eta_1m-8072a09ffab6,0.875,0.75,0.625,0.25,0.0,0.375,0.125,0.5,1.0
marketing_campaign-45b76b0f0de6,0.5,1.0,0.875,0.75,0.25,0.625,0.375,0.125,0.0
maternal_health_risk-002da4815804,1.0,0.375,0.25,0.625,0.875,0.75,0.125,0.5,0.0
mercari_price_suggestion_1m-12cff1856413,1.0,0.75,0.875,0.375,0.625,0.5,0.0,0.25,0.125
mercedes_benz_greener_manufacturing-da8ac0e00317,0.75,1.0,0.625,0.375,0.125,0.875,0.25,0.5,0.0
miami_housing-77ada7242bed,1.0,0.875,0.75,0.375,0.5,0.625,0.125,0.25,0.0
mic-ba10980b94f8,1.0,0.75,0.875,0.5,0.625,0.375,0.125,0.0,0.25
mice_protein_trisomy_discriminant-14c7a0eb99a0,0.875,0.5,0.375,0.75,0.625,1.0,0.25,0.125,0.0
micro_mass-5deb16d4fa0e,0.0,0.75,0.875,0.25,0.5,1.0,0.625,0.125,0.375
musk-16dca0dbddf5,0.875,0.75,0.5,1.0,0.375,0.625,0.25,0.125,0.0
mutual_funds_india-5fbf8efc1836,1.0,0.75,0.875,0.625,0.5,0.125,0.25,0.375,0.0
