case_id,winner,competitor,expected_finite,observed_finite,expected_radius_tv,observed_radius_tv,absolute_difference,status
living12__all__rank__equal,TA-TABPFN-3 (default),TA-REALMLP (tuned + ensemble),True,True,0.081002892960463,0.08100289296046274,2.498001805406602e-16,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),TA-TABM (tuned + ensemble),True,True,0.1530054644808744,0.1530054644808741,3.0531133177191805e-16,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),TA-TABDPT (default),True,True,0.3005464480874318,0.30054644808743125,5.551115123125783e-16,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),TA-TABPFN-2.6 (default),True,True,0.0308582449373192,0.030858244937319153,4.85722573273506e-17,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),TA-TABICLv2 (default),True,True,0.0556206088992973,0.05562060889929736,6.245004513516506e-17,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),CAT (tuned + ensemble),True,True,0.0909090909090909,0.0909090909090909,0.0,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),EBM (tuned + ensemble),True,True,0.2366013071895424,0.23660130718954253,1.3877787807814457e-16,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),FASTAI (tuned + ensemble),True,True,0.3092006033182503,0.3092006033182502,5.551115123125783e-17,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),GBM (tuned + ensemble),True,True,0.0366013071895425,0.03660130718954249,6.938893903907228e-18,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),KNN (tuned + ensemble),False,False,inf,inf,0.0,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),LR (tuned + ensemble),True,True,0.5203619909502266,0.5203619909502256,9.992007221626409e-16,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),MNCA (tuned + ensemble),True,True,0.1357466063348415,0.13574660633484165,1.3877787807814457e-16,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),NN_TORCH (tuned + ensemble),True,True,0.2727272727272726,0.2727272727272727,1.1102230246251565e-16,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),RF (tuned + ensemble),True,True,0.2975778546712805,0.2975778546712801,3.885780586188048e-16,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),TABDPT (default),True,True,0.2156862745098039,0.21568627450980388,2.7755575615628914e-17,PASS
tabarena_primary14__rank__equal,REALMLP (tuned + ensemble),TABM (tuned + ensemble),True,True,0.0392156862745097,0.0392156862745098,1.0408340855860843e-16,PASS
